,Eg,FWHM,Eff_tot,FE,SE,DE,c511
376,3820.0,0.77763,0.98076,137510.0,35697.0,5590.5,26015.0
377,3830.0,0.7773,0.98214,138260.0,35826.0,5773.0,26114.0
378,3840.0,0.77697,0.98224,138020.0,36220.0,5613.0,26082.0
379,3850.0,0.77663,0.98032,138430.0,36179.0,5791.0,26100.0
380,3860.0,0.7763,0.98301,137480.0,36713.0,5695.5,26579.0
381,3870.0,0.77598,0.98353,137810.0,36674.0,5741.0,26399.0
382,3880.0,0.77565,0.98326,137340.0,36616.0,5765.5,26600.0
383,3890.0,0.77533,0.98384,137840.0,37148.0,5785.5,27037.0
384,3900.0,0.775,0.98264,137700.0,37152.0,5777.5,26983.0
385,3910.0,0.77468,0.98527,137880.0,37442.0,5866.0,27022.0
